snr_db,T1_ber,T2_ber_plus_sigma,T3_bler,perm_T1,perm_T2,perm_T3,ordering_holds,sigma_ber
2.5,2e-05,3.747e-05,0.73037768,TRANSMIT,TRANSMIT,REFUSE,1,1.74691e-05
2.6,1.61e-05,3.177e-05,0.59074953,TRANSMIT,TRANSMIT,REFUSE,1,1.56736e-05
2.7,1.22e-05,2.584e-05,0.45112139,TRANSMIT,TRANSMIT,REFUSE,1,1.36439e-05
2.8,8.3e-06,1.955e-05,0.31149324,TRANSMIT,TRANSMIT,REFUSE,1,1.12538e-05
2.9,4.4e-06,1.259e-05,0.1718651,TRANSMIT,TRANSMIT,REFUSE,1,8.1938e-06
3.0,5e-07,3.26e-06,0.03223695,TRANSMIT,TRANSMIT,HOLD,1,2.7621e-06
3.1,4e-07,2.88e-06,0.02592059,TRANSMIT,TRANSMIT,HOLD,1,2.4767e-06
3.2,3e-07,2.46e-06,0.01960423,TRANSMIT,TRANSMIT,TRANSMIT_MONITORED,1,2.1538e-06
3.3,2.1e-07,1.98e-06,0.01328787,TRANSMIT,TRANSMIT,TRANSMIT_MONITORED,1,1.7729e-06
3.4,1.1e-07,1.39e-06,0.00697151,TRANSMIT,TRANSMIT,TRANSMIT_MONITORED,1,1.2837e-06
3.5,1e-08,4e-07,0.00065515,TRANSMIT,TRANSMIT,TRANSMIT,1,3.906e-07
3.6,1e-08,3.6e-07,0.00052543,TRANSMIT,TRANSMIT,TRANSMIT,1,3.498e-07
3.7,1e-08,3.1e-07,0.00039571,TRANSMIT,TRANSMIT,TRANSMIT,1,3.036e-07
3.8,0.0,2.5e-07,0.00026599,TRANSMIT,TRANSMIT,TRANSMIT,1,2.489e-07
3.9,0.0,1.8e-07,0.00013627,TRANSMIT,TRANSMIT,TRANSMIT,1,1.782e-07
4.0,0.0,4e-08,6.55e-06,TRANSMIT,TRANSMIT,TRANSMIT,1,3.91e-08
4.1,0.0,4e-08,5.9e-06,TRANSMIT,TRANSMIT,TRANSMIT,1,3.71e-08
4.2,0.0,4e-08,5.24e-06,TRANSMIT,TRANSMIT,TRANSMIT,1,3.49e-08
4.3,0.0,3e-08,4.59e-06,TRANSMIT,TRANSMIT,TRANSMIT,1,3.27e-08
4.4,0.0,3e-08,3.93e-06,TRANSMIT,TRANSMIT,TRANSMIT,1,3.03e-08
4.5,0.0,3e-08,3.28e-06,TRANSMIT,TRANSMIT,TRANSMIT,1,2.76e-08
4.6,0.0,2e-08,2.62e-06,TRANSMIT,TRANSMIT,TRANSMIT,1,2.47e-08
4.7,0.0,2e-08,1.97e-06,TRANSMIT,TRANSMIT,TRANSMIT,1,2.14e-08
4.8,0.0,2e-08,1.31e-06,TRANSMIT,TRANSMIT,TRANSMIT,1,1.75e-08
4.9,0.0,1e-08,6.6e-07,TRANSMIT,TRANSMIT,TRANSMIT,1,1.24e-08
5.0,0.0,0.0,0.0,TRANSMIT,TRANSMIT,TRANSMIT,1,1e-10
