path,case_id,family,expert_judgment,level,level_name,n_gaps,admissible,k,perm_m,C_mn,A_e,gap,sound,monotone_m,monotone_n
nonresolving,W-population,active_witness,ALR,3,L3_deployment_control,6,1,8,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-population,active_witness,ALR,3,L3_deployment_control,6,1,16,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-population,active_witness,ALR,3,L3_deployment_control,6,1,32,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-population,active_witness,ALR,3,L3_deployment_control,6,1,64,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-clinical,active_witness,ALR,3,L3_deployment_control,6,1,4,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-clinical,active_witness,ALR,3,L3_deployment_control,6,1,8,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-clinical,active_witness,ALR,3,L3_deployment_control,6,1,16,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-clinical,active_witness,ALR,3,L3_deployment_control,6,1,32,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-clinical,active_witness,ALR,3,L3_deployment_control,6,1,64,AEX,0.75,1.0,0.25,1,1,1
nonresolving,M01,induction,ALR,2,L2_population_scope,7,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M01,induction,ALR,2,L2_population_scope,7,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M01,induction,ALR,2,L2_population_scope,7,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M01,induction,ALR,2,L2_population_scope,7,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M01,induction,ALR,2,L2_population_scope,7,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M02,induction,REV,2,L2_population_scope,7,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M02,induction,REV,2,L2_population_scope,7,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M02,induction,REV,2,L2_population_scope,7,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M02,induction,REV,2,L2_population_scope,7,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M02,induction,REV,2,L2_population_scope,7,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M03,induction,REV,2,L2_population_scope,7,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M03,induction,REV,2,L2_population_scope,7,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M03,induction,REV,2,L2_population_scope,7,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M03,induction,REV,2,L2_population_scope,7,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M03,induction,REV,2,L2_population_scope,7,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M04,induction,REV,2,L2_population_scope,7,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M04,induction,REV,2,L2_population_scope,7,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M04,induction,REV,2,L2_population_scope,7,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M04,induction,REV,2,L2_population_scope,7,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M04,induction,REV,2,L2_population_scope,7,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M05,induction,REV,2,L2_population_scope,7,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M05,induction,REV,2,L2_population_scope,7,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M05,induction,REV,2,L2_population_scope,7,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M05,induction,REV,2,L2_population_scope,7,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M05,induction,REV,2,L2_population_scope,7,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M06,induction,AEX,2,L2_population_scope,7,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M06,induction,AEX,2,L2_population_scope,7,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M06,induction,AEX,2,L2_population_scope,7,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M06,induction,AEX,2,L2_population_scope,7,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M06,induction,AEX,2,L2_population_scope,7,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M07,induction,AEX,2,L2_population_scope,7,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M07,induction,AEX,2,L2_population_scope,7,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M07,induction,AEX,2,L2_population_scope,7,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M07,induction,AEX,2,L2_population_scope,7,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M07,induction,AEX,2,L2_population_scope,7,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H01,held_out,ALR,2,L2_population_scope,7,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H01,held_out,ALR,2,L2_population_scope,7,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H01,held_out,ALR,2,L2_population_scope,7,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H01,held_out,ALR,2,L2_population_scope,7,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H01,held_out,ALR,2,L2_population_scope,7,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H02,held_out,REV,2,L2_population_scope,7,1,4,REV,0.5,0.5,0.0,1,1,1
nonresolving,H02,held_out,REV,2,L2_population_scope,7,1,8,REV,0.5,0.5,0.0,1,1,1
nonresolving,H02,held_out,REV,2,L2_population_scope,7,1,16,REV,0.5,0.5,0.0,1,1,1
nonresolving,H02,held_out,REV,2,L2_population_scope,7,1,32,REV,0.5,0.5,0.0,1,1,1
nonresolving,H02,held_out,REV,2,L2_population_scope,7,1,64,REV,0.5,0.5,0.0,1,1,1
nonresolving,H03,held_out,DIA,2,L2_population_scope,7,1,4,DIA,0.25,0.25,0.0,1,1,1
nonresolving,H03,held_out,DIA,2,L2_population_scope,7,1,8,DIA,0.25,0.25,0.0,1,1,1
nonresolving,H03,held_out,DIA,2,L2_population_scope,7,1,16,DIA,0.25,0.25,0.0,1,1,1
nonresolving,H03,held_out,DIA,2,L2_population_scope,7,1,32,DIA,0.25,0.25,0.0,1,1,1
nonresolving,H03,held_out,DIA,2,L2_population_scope,7,1,64,DIA,0.25,0.25,0.0,1,1,1
nonresolving,H04,held_out,REV,2,L2_population_scope,7,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H04,held_out,REV,2,L2_population_scope,7,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H04,held_out,REV,2,L2_population_scope,7,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H04,held_out,REV,2,L2_population_scope,7,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H04,held_out,REV,2,L2_population_scope,7,1,64,AEX,0.75,0.75,0.0,1,1,1
