beta,tau,tv_mean,tv_max,perm_mean,perm_max,gap,incompleteness_mean,incompleteness_max,auth_gap_width
0.44,0.3568,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3593,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3618,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3643,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3668,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3693,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3719,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3744,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3769,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3794,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3819,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3844,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3869,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3894,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.392,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3945,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.397,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3995,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.402,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4045,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.407,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4095,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4121,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4146,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4171,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4196,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4221,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4246,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4271,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4296,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4322,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4347,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4372,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4397,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4422,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4447,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4472,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4497,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4523,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4548,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4573,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4598,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4623,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4648,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4673,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4698,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4724,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4749,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4774,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4799,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4824,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4849,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4874,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4899,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4925,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.495,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.4975,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.5,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
