beta,functional,tv_value,tau,permission,breakpoint_tau,f1_val,f4_val,ordering_holds,auth_gap_width
0.2,F1_mean,0.013,0.2014,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2024,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2034,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2044,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2054,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2064,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2074,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2084,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2094,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2104,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2114,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2124,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2134,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2144,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2154,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2164,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2174,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2184,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2194,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2204,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2214,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2224,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2234,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2244,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2255,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2265,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2275,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2285,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2295,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2305,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2315,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2325,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2335,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2345,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2355,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2365,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2375,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2385,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2395,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2405,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2415,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2425,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2435,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2445,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2455,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2465,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2475,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2485,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2495,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2505,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2515,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2525,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2535,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2545,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2555,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2565,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2575,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2585,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2595,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2605,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2615,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2625,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2635,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2645,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2655,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2665,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2675,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2685,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2695,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2705,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2715,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2725,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2735,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2745,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2756,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2766,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2776,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2786,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2796,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2806,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2816,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2826,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2836,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2846,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2856,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2866,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2876,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2886,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2896,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2906,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2916,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2926,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2936,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2946,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2956,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2966,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2976,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2986,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.2996,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3006,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3016,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3026,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3036,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3046,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3056,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3066,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3076,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3086,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3096,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3106,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3116,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3126,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3136,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3146,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3156,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3166,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3176,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3186,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3196,ACT,0.013,0.013,0.033164,1,0.020164
0.2,F1_mean,0.013,0.3206,ACT,0.013,0.013,0.033164,1,0.020164
