L0_fiber,n_worlds_L0,level,enlarged_key,enlarged_fiber_size,p_hat_mean,A_e,honest_compiler,naive_coarse,cost_loss,DRO,Ae_monotone_along_ladder,manufactured_at_L3,cl_strengthens_L0_to_L3,dro_matches_Ae_at_L0,statuses
"(0.0, 'radiative', 'hardy')",1865,L1,"(0.0, 'radiative', 'hardy')",3670,0.0299,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(0.0, 'radiative', 'hardy')",1865,L2,"(0.0, 'radiative-hardy')",3670,0.0299,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(0.0, 'radiative', 'hardy')",1865,L3,"(0.0,)",14592,0.0296,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-3.0, 'radiative', 'hardy')",1389,L0,"(-3.0, 'radiative', 'hardy')",1389,0.405,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-3.0, 'radiative', 'hardy')",1389,L1,"(-4.0, 'radiative', 'hardy')",1842,0.6076,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-3.0, 'radiative', 'hardy')",1389,L2,"(-4.0, 'radiative-hardy')",1842,0.6076,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-3.0, 'radiative', 'hardy')",1389,L3,"(-4.0,)",7606,0.6099,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-7.0, 'advective', 'hardy')",132,L0,"(-7.0, 'advective', 'hardy')",132,0.9817,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-7.0, 'advective', 'hardy')",132,L1,"(-6.0, 'advective', 'hardy')",568,0.9124,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-7.0, 'advective', 'hardy')",132,L2,"(-6.0, 'advective-hardy')",568,0.9124,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-7.0, 'advective', 'hardy')",132,L3,"(-6.0,)",2839,0.9149,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(2.0, 'advective', 'vulnerable')",998,L0,"(2.0, 'advective', 'vulnerable')",998,0.0008,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(2.0, 'advective', 'vulnerable')",998,L1,"(2.0, 'advective', 'vulnerable')",1951,0.0015,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(2.0, 'advective', 'vulnerable')",998,L2,"(2.0, 'advective-vulnerable')",1951,0.0015,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(2.0, 'advective', 'vulnerable')",998,L3,"(2.0,)",7906,0.0015,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-2.0, 'radiative', 'hardy')",1711,L0,"(-2.0, 'radiative', 'hardy')",1711,0.2059,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-2.0, 'radiative', 'hardy')",1711,L1,"(-2.0, 'radiative', 'hardy')",3428,0.2122,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-2.0, 'radiative', 'hardy')",1711,L2,"(-2.0, 'radiative-hardy')",3428,0.2122,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-2.0, 'radiative', 'hardy')",1711,L3,"(-2.0,)",13871,0.2107,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(1.0, 'advective', 'hardy')",1232,L0,"(1.0, 'advective', 'hardy')",1232,0.0053,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(1.0, 'advective', 'hardy')",1232,L1,"(2.0, 'advective', 'hardy')",1607,0.0015,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(1.0, 'advective', 'hardy')",1232,L2,"(2.0, 'advective-hardy')",1607,0.0015,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(1.0, 'advective', 'hardy')",1232,L3,"(2.0,)",7906,0.0015,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-4.0, 'advective', 'vulnerable')",991,L0,"(-4.0, 'advective', 'vulnerable')",991,0.6353,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-4.0, 'advective', 'vulnerable')",991,L1,"(-4.0, 'advective', 'vulnerable')",1940,0.6086,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-4.0, 'advective', 'vulnerable')",991,L2,"(-4.0, 'advective-vulnerable')",1940,0.6086,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-4.0, 'advective', 'vulnerable')",991,L3,"(-4.0,)",7606,0.6099,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-1.0, 'radiative', 'vulnerable')",2289,L0,"(-1.0, 'radiative', 'vulnerable')",2289,0.0823,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-1.0, 'radiative', 'vulnerable')",2289,L1,"(0.0, 'radiative', 'vulnerable')",4362,0.0291,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-1.0, 'radiative', 'vulnerable')",2289,L2,"(0.0, 'radiative-vulnerable')",4362,0.0291,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-1.0, 'radiative', 'vulnerable')",2289,L3,"(0.0,)",14592,0.0296,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-2.0, 'advective', 'hardy')",1431,L0,"(-2.0, 'advective', 'hardy')",1431,0.2084,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-2.0, 'advective', 'hardy')",1431,L1,"(-2.0, 'advective', 'hardy')",2803,0.211,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-2.0, 'advective', 'hardy')",1431,L2,"(-2.0, 'advective-hardy')",2803,0.211,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-2.0, 'advective', 'hardy')",1431,L3,"(-2.0,)",13871,0.2107,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(2.0, 'advective', 'hardy')",796,L0,"(2.0, 'advective', 'hardy')",796,0.0008,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
