fiber,t_min_bin,regime,pheno_band,n_worlds,p_hat,heterogeneity_std_L,c_over_l_bar,L_bar,A_e,cost_loss,DRO,pin_t_min,pin_L_real,pin_phenology,pin_regime,divergence_cl_acts_Ae_doesnt
"(-2.0, 'advective', 'hardy')",-2.0,advective,hardy,1396,0.2061,0.0068,0.1,1.0,REV,AEX,REV,-4.84,0.0004,dormant,advective,1
"(-2.0, 'advective', 'hardy')",-2.0,advective,hardy,1396,0.2061,0.0068,0.2,0.5,REV,AEX,REV,-4.84,0.0004,dormant,advective,1
"(-2.0, 'advective', 'hardy')",-2.0,advective,hardy,1396,0.2061,0.0068,0.5,0.2,REV,REV,REV,-4.84,0.0004,dormant,advective,0
"(0.0, 'advective', 'hardy')",0.0,advective,hardy,1495,0.0244,0.0029,0.05,2.0,REV,REV,REV,0.67,0.0,swollen,advective,0
"(0.0, 'advective', 'hardy')",0.0,advective,hardy,1495,0.0244,0.0029,0.1,1.0,REV,REV,REV,0.67,0.0,swollen,advective,0
"(0.0, 'advective', 'hardy')",0.0,advective,hardy,1495,0.0244,0.0029,0.2,0.5,REV,REV,REV,0.67,0.0,swollen,advective,0
"(0.0, 'advective', 'hardy')",0.0,advective,hardy,1495,0.0244,0.0029,0.5,0.2,REV,REV,REV,0.67,0.0,swollen,advective,0
"(-1.0, 'radiative', 'vulnerable')",-1.0,radiative,vulnerable,2313,0.0822,0.1168,0.05,2.0,REV,AEX,REV,-1.95,0.0,budbreak,radiative,1
"(-1.0, 'radiative', 'vulnerable')",-1.0,radiative,vulnerable,2313,0.0822,0.1168,0.1,1.0,REV,REV,REV,-1.95,0.0,budbreak,radiative,0
"(-1.0, 'radiative', 'vulnerable')",-1.0,radiative,vulnerable,2313,0.0822,0.1168,0.2,0.5,REV,REV,REV,-1.95,0.0,budbreak,radiative,0
"(-1.0, 'radiative', 'vulnerable')",-1.0,radiative,vulnerable,2313,0.0822,0.1168,0.5,0.2,REV,REV,REV,-1.95,0.0,budbreak,radiative,0
"(-5.0, 'radiative', 'vulnerable')",-5.0,radiative,vulnerable,716,0.8221,0.2783,0.05,2.0,REV,AEX,REV,-1.8,0.0,budbreak,radiative,1
"(-5.0, 'radiative', 'vulnerable')",-5.0,radiative,vulnerable,716,0.8221,0.2783,0.1,1.0,REV,AEX,REV,-1.8,0.0,budbreak,radiative,1
"(-5.0, 'radiative', 'vulnerable')",-5.0,radiative,vulnerable,716,0.8221,0.2783,0.2,0.5,REV,AEX,REV,-1.8,0.0,budbreak,radiative,1
